step,time,soc,p_bess,p_grid,p_pv,p_load,energy_cost,reward,test_day
0,2006-12-26 00:00:00,0.1,-0.4876837851995565,0.9670275618475568,0.0,1.4547113470471134,0.03223425206158522,-0.03328290935588226,10
1,2006-12-26 00:05:00,0.1,-0.0,1.4681486396814862,0.0,1.4681486396814862,0.04893828798938288,-0.04893828798938288,10
2,2006-12-26 00:10:00,0.1,-0.0,1.5032349037823485,0.0,1.5032349037823485,0.05010783012607828,-0.05010783012607828,10
3,2006-12-26 00:15:00,0.10032859676958814,0.028164029121398926,1.5192058340318164,0.0,1.4910418049104175,0.05064019446772721,-0.05064019446772721,10
4,2006-12-26 00:20:00,0.1,-0.01774333834648112,1.4215400060463523,0.0,1.4392833443928335,0.047384666868211744,-0.04738605505955992,10
5,2006-12-26 00:25:00,0.1,-0.0,1.4557067020570673,0.0,1.4557067020570673,0.048523556735235576,-0.048523556735235576,10
6,2006-12-26 00:30:00,0.1,-0.0,1.4708858659588584,0.0,1.4708858659588584,0.04902952886529528,-0.04902952886529528,10
7,2006-12-26 00:35:00,0.1,-0.0,1.4591904445919046,0.0,1.4591904445919046,0.04863968148639682,-0.04863968148639682,10
8,2006-12-26 00:40:00,0.1,-0.0,1.4783510285335097,0.0,1.4783510285335097,0.04927836761778366,-0.04927836761778366,10
9,2006-12-26 00:45:00,0.1,-0.0,1.4676509621765095,0.0,1.4676509621765095,0.04892169873921698,-0.04892169873921698,10
10,2006-12-26 00:50:00,0.1,-0.0,1.4437624419376243,0.0,1.4437624419376243,0.048125414731254146,-0.048125414731254146,10
11,2006-12-26 00:55:00,0.1,-0.0,1.3952388852023887,0.0,1.3952388852023887,0.046507962840079624,-0.046507962840079624,10
12,2006-12-26 01:00:00,0.1,-0.0,1.387027206370272,0.0,1.387027206370272,0.0462342402123424,-0.0462342402123424,10
13,2006-12-26 01:05:00,0.1,-0.0,1.4089250165892504,0.0,1.4089250165892504,0.04696416721964168,-0.04696416721964168,10
14,2006-12-26 01:10:00,0.1,-0.0,1.4298274717982749,0.0,1.4298274717982749,0.04766091572660916,-0.04766091572660916,10
15,2006-12-26 01:15:00,0.1,-0.0,1.4385368281353683,0.0,1.4385368281353683,0.04795122760451228,-0.04795122760451228,10
16,2006-12-26 01:20:00,0.1,-0.0,1.4656602521566027,0.0,1.4656602521566027,0.04885534173855342,-0.04885534173855342,10
17,2006-12-26 01:25:00,0.1,-0.0,1.4233576642335763,0.0,1.4233576642335763,0.047445255474452545,-0.047445255474452545,10
18,2006-12-26 01:30:00,0.1,-0.0,1.4171366954213669,0.0,1.4171366954213669,0.047237889847378894,-0.047237889847378894,10
19,2006-12-26 01:35:00,0.1,-0.0,1.4382879893828795,0.0,1.4382879893828795,0.047942932979429316,-0.047942932979429316,10
20,2006-12-26 01:40:00,0.1,-0.0,1.4601857996018581,0.0,1.4601857996018581,0.0486728599867286,-0.0486728599867286,10
21,2006-12-26 01:45:00,0.1,-0.0,1.4855673523556736,0.0,1.4855673523556736,0.049518911745189124,-0.049518911745189124,10
