step,time,soc,p_bess,p_grid,p_pv,p_load,energy_cost,reward,test_day
0,2006-12-30 00:00:00,0.1,-0.0,0.094807564698075,0.0,0.094807564698075,0.0031602521566025,-0.0031602521566025,14
1,2006-12-30 00:05:00,0.1,-0.0,0.094807564698075,0.0,0.094807564698075,0.0031602521566025,-0.0031602521566025,14
2,2006-12-30 00:10:00,0.1,-0.0,0.091572660915726,0.0,0.091572660915726,0.0030524220305242,-0.0030524220305242,14
3,2006-12-30 00:15:00,0.1,-0.0,0.15328467153284642,0.0,0.15328467153284642,0.00510948905109488,-0.00510948905109488,14
4,2006-12-30 00:20:00,0.1,-0.0,0.1995686794956864,0.0,0.1995686794956864,0.00665228931652288,-0.00665228931652288,14
5,2006-12-30 00:25:00,0.1081670750204177,0.7,0.8836429993364295,0.0,0.1836429993364296,0.029454766644547648,-0.029454766644547648,14
6,2006-12-30 00:30:00,0.1081670750204177,0.0,0.24162242866622402,0.0,0.24162242866622402,0.008054080955540801,-0.008054080955540801,14
7,2006-12-30 00:35:00,0.10500310982623422,-0.1328798938287984,0.0,0.0,0.1328798938287984,0.0,0.0,14
8,2006-12-30 00:40:00,0.10284047444069681,-0.0908261446582614,0.0,0.0,0.0908261446582614,0.0,0.0,14
9,2006-12-30 00:45:00,0.10068968911206647,-0.09032846715328441,0.0,0.0,0.09032846715328441,0.0,0.0,14
10,2006-12-30 00:50:00,0.1,-0.03724134989098629,0.05482898852971671,0.0,0.092070338420703,0.0018276329509905572,-0.0018337484161187645,14
11,2006-12-30 00:55:00,0.1,-0.0,0.16423357664233562,0.0,0.16423357664233562,0.005474452554744521,-0.005474452554744521,14
12,2006-12-30 01:00:00,0.10610782654779738,0.5235018134117126,0.7210797828874922,0.0,0.1975779694757796,0.024035992762916406,-0.024035992762916406,14
13,2006-12-30 01:05:00,0.10254688444722758,-0.1495520902455204,0.0,0.0,0.1495520902455204,0.0,0.0,14
14,2006-12-30 01:10:00,0.10804388334642283,0.4711477756500244,0.5701855991404025,0.0,0.09903782349037801,0.019006186638013414,-0.019006186638013414,14
15,2006-12-30 01:15:00,0.10552574625367381,-0.1057564698075642,0.0,0.0,0.1057564698075642,0.0,0.0,14
16,2006-12-30 01:20:00,0.10214848003516334,-0.1418380889183808,0.0,0.0,0.1418380889183808,0.0,0.0,14
17,2006-12-30 01:25:00,0.1,-0.11601212100272536,0.02806551668805103,0.0,0.1440776376907764,0.0009355172229350343,-0.000994862395747251,14
18,2006-12-30 01:30:00,0.1,-0.0,0.1403450564034504,0.0,0.1403450564034504,0.004678168546781681,-0.004678168546781681,14
